country,country_name,year,party,rank,vote_share,seat_share,share_diff,seats,seats_total,elec_sys
USA,United States of America,2008,Dem,Top 1,52.9,59.1,6.2,257,435,First-past-post
USA,United States of America,2008,Rep,Top 2,42.4,40.9,-1.5,178,435,First-past-post
USA,United States of America,2010,Rep,Top 1,51.7,55.6,3.9,242,435,First-past-post
USA,United States of America,2010,Dem,Top 2,44.9,44.4,-0.5,193,435,First-past-post
USA,United States of America,2012,Rep,Top 1,48.5,53.8,5.3,234,435,First-past-post
USA,United States of America,2012,Dem,Top 2,48.7,46.2,-2.5,201,435,First-past-post
USA,United States of America,2014,Rep,Top 1,51.2,56.8,5.6,247,435,First-past-post
USA,United States of America,2014,Dem,Top 2,45.5,43.2,-2.3,188,435,First-past-post
USA,United States of America,2016,Rep,Top 1,50.6,55.4,4.8,241,435,First-past-post
USA,United States of America,2016,Dem,Top 2,49.4,44.6,-4.8,194,435,First-past-post
USA,United States of America,2018,Rep,Top 1,45.6,50.6,5,241,476,First-past-post
USA,United States of America,2018,Dem,Top 2,54.4,49.4,-5,235,476,First-past-post
ZMB,Zambia,1996,MMD,Top 1,60.1,87.3,27.2,131,150,First-past-post
ZMB,Zambia,1996,NP,Top 2,7.2,3.3,-3.9,5,150,First-past-post
ZMB,Zambia,2001,MMD,Top 1,28,46,18,69,150,First-past-post
ZMB,Zambia,2001,UPND,Top 2,23.9,32.7,8.8,49,150,First-past-post
ZMB,Zambia,2006,MMD,Top 1,39.1,50,10.9,75,150,First-past-post
ZMB,Zambia,2006,PF,Top 2,23,28.7,5.7,43,150,First-past-post
ZMB,Zambia,2011,PF,Top 1,38.4,40,1.6,60,150,First-past-post
ZMB,Zambia,2011,MMD,Top 2,33.4,36.7,3.3,55,150,First-past-post
ZMB,Zambia,2016,PF,Top 1,41,51.3,10.3,80,156,First-past-post
ZMB,Zambia,2016,UPND,Top 2,40.6,37.2,-3.4,58,156,First-past-post
